Neighborhood,Vacant Rate,[Pct Improved by Neighborhood]2,Bipoc Rate,% of blds that were homes,% of Condoconversions that THREE-FAM DWELL,% of Condoconversions that TWO-FAM DWELL,Simple Condo Conversion %,Avg. Median Household Income
Mattapan,0.06,1,0.94,0.31,0.11,0.33,0.38,"67,206.00"
Roxbury,0.08,0.4,0.87,0.33,0.42,0.29,0.23,"43,255.00"
Dorchester,0.07,0.75,0.78,0.34,0.51,0.32,0.35,"72,871.31"
Hyde Park,0.04,0.63,0.77,0.33,0.25,0.6,0.2,"96,862.00"
Chinatown,0.09,,0.73,0.33,1,0,0.33,"70,865.00"
East Boston,0.07,0.52,0.63,0.39,0.54,0.14,0.49,"92,079.00"
Roslindale,0.05,0.75,0.54,0.25,0.29,0.55,0.24,"109,237.00"
Allston,0.06,0.75,0.49,0.15,0.4,0.4,0.18,"75,317.00"
Jamaica Plain,0.06,0.59,0.46,0.27,0.46,0.32,0.27,"130,533.00"
South End,0.08,0.86,0.43,0.19,0.39,0.33,0.25,"90,142.00"
Longwood,0.07,1,0.37,0.06,0,0,0.1,"53,398.00"
Brighton,0.05,0.75,0.37,0.24,0.47,0.2,0.24,"88,208.00"
West Roxbury,0.05,0.71,0.34,0.44,0.2,0.6,0.24,"139,545.00"
Downtown,0.19,1,0.32,0.07,0.2,0.2,0.2,"94,295.58"
Charlestown,0.06,0.33,0.29,0.34,0.45,0.36,0.26,"157,192.00"
South Boston,0.06,0.59,0.23,0.28,0.33,0.33,0.31,"156,373.00"
South Boston Waterfront,0.22,,0.23,0,0,0,0,"178,833.00"
Beacon Hill,0.09,0.43,0.19,0.22,0.5,0,0.24,"174,806.93"
